filter_,wer_mean,wer_std,cer_mean,cer_std,wil_mean,wil_std,wip_mean,wip_std,fluxo,type
limiarização_de_otsu,0.6792164064891337,0.5497569800595904,0.6635547393123151,0.6906486959041639,0.6415289256198347,0.4795498204674983,0.3584710743801653,0.47954982046749817,ESRGAN -> OpenCV -> EASYOCR,SVHN
original,0.575221916131007,0.5498809750672334,0.5250025507601266,0.6183704195653542,0.5481711049892868,0.4976739565848031,0.4518288950107132,0.49767395658480323,ESRGAN -> OpenCV -> EASYOCR,SVHN
bilateral,0.9812519130700948,0.3863444222509709,0.9799216916641159,0.4349575397077357,0.9315928646736726,0.251037571001512,0.06840713532632725,0.2510375710015121,ESRGAN -> OpenCV -> Tesseract,SVHN
image_full_gray,0.9910468319559229,0.5289472036091367,1.0023530762167125,0.5758933929606723,0.9158886848280788,0.2760177557826485,0.08411131517192123,0.27601775578264837,ESRGAN -> OpenCV -> Tesseract,SVHN
limiarização_binária ,1.0095653504744413,0.39625980872866057,1.0174816345270892,0.4573267574859304,0.9379655137230896,0.22092396354736715,0.062034486276910515,0.22092396354736715,ESRGAN -> OpenCV -> Tesseract,SVHN
limiarização_de_otsu,0.9910468319559229,0.5289472036091367,1.0023530762167125,0.5758933929606723,0.9158886848280788,0.2760177557826485,0.08411131517192123,0.27601775578264837,ESRGAN -> OpenCV -> Tesseract,SVHN
original,1.0002295684113867,0.5253939701343955,1.0317033976124885,0.7565206651230794,0.9142124710306528,0.27753451842603294,0.08578752896934716,0.277534518426033,ESRGAN -> OpenCV -> Tesseract,SVHN
bilateral,0.8449171049817971,0.5242454517753922,0.563081056151588,0.37678176810460645,0.7884760657971299,0.370702941111035,0.21152393420287002,0.37070294111103486,OpenCV[todos preproc] -> EASYOCR,SROEI
image_full_gray,0.756584801176867,0.5480928933873265,0.4792352195610838,0.37762566911839307,0.7174432511627702,0.41024986789915663,0.28255674883722987,0.41024986789915674,OpenCV[todos preproc] -> EASYOCR,SROEI
limiarização_binária,0.834724527652511,0.5125529775608256,0.5691216530688878,0.3755212719794042,0.7878858194940743,0.372746529672227,0.21211418050592576,0.37274652967222704,OpenCV[todos preproc] -> EASYOCR,SROEI
limiarização_de_otsu,0.793156112611844,0.5892385138774946,0.4654256034109069,0.3703697086760909,0.7257471512158006,0.4079479877712368,0.2742528487841994,0.40794798777123686,OpenCV[todos preproc] -> EASYOCR,SROEI
original,0.7568889759905051,0.5473993903931722,0.4796329938522965,0.37736279231827446,0.717869555987523,0.40997801314355675,0.282130444012477,0.4099780131435566,OpenCV[todos preproc] -> EASYOCR,SROEI
bilateral,0.9164868720351506,0.39372107670923684,0.7741652177827322,0.3532315940103708,0.8961819949010558,0.2678671377853123,0.1038180050989442,0.26786713778531235,OpenCV[todos preproc] -> Tesseract,SROEI
image_full_gray,0.9001061819857265,0.3857811114991574,0.7744971736904079,0.3555271905981005,0.8897295073256355,0.27726491071080145,0.11027049267436448,0.27726491071080145,OpenCV[todos preproc] -> Tesseract,SROEI
limiarização_binária ,0.9523247857253953,0.40665252952361136,0.7954404623861063,0.34834918102643386,0.9144351677605647,0.24266277922610105,0.08556483223943526,0.2426627792261011,OpenCV[todos preproc] -> Tesseract,SROEI
